ID,speed(km/h)
10,12.5
9,1.4
10,7.7
9,2.9
9,1.8
9,0.8
9,0.8
9,5.0
9,1.5
9,0.5
9,0.8
9,1.5
9,0.5
9,0.8
9,1.8
9,1.1
9,2.0
9,1.9
15,10.1
9,0.7
15,7.9
9,0.8
15,10.8
15,12.2
9,2.4
15,11.7
9,1.5
15,14.7
9,0.4
15,19.5
9,1.7
15,19.0
19,39.6
9,0.9
15,20.9
19,31.6
9,1.2
15,20.5
19,24.4
16,1.4
19,21.2
16,3.9
19,14.6
22,47.9
9,3.9
19,13.2
22,35.2
9,4.3
19,11.8
22,23.1
9,2.1
19,11.8
22,17.7
9,3.1
19,12.5
22,19.2
9,4.6
19,8.2
22,14.5
9,6.8
19,9.4
22,13.1
9,5.6
22,17.5
9,4.6
22,10.4
24,34.4
9,5.6
22,13.4
24,26.4
9,7.1
21,33.9
24,24.3
9,5.4
21,26.6
24,18.1
9,7.3
21,20.7
24,15.5
9,10.1
21,21.9
24,12.5
9,9.8
21,14.9
24,15.5
9,13.1
21,14.6
24,6.4
29,47.6
30,35.1
9,14.9
21,14.1
24,15.3
29,36.5
30,27.9
9,16.2
21,12.7
24,7.8
29,26.4
21,14.4
24,9.1
29,18.7
31,19.2
19,4.6
21,7.3
26,0.6
29,15.5
31,16.0
19,10.0
21,10.3
26,0.9
29,13.1
31,17.1
21,10.7
29,11.6
21,10.6
29,8.4
21,7.3
29,16.3
21,3.3
29,9.7
21,3.4
26,25.7
29,9.8
26,26.7
27,4.2
29,13.8
26,17.4
27,5.1
19,3.7
26,15.3
27,6.4
19,8.0
26,13.4
27,5.3
35,0.3
19,9.7
26,12.0
27,5.5
19,5.5
26,9.8
26,13.5
27,10.3
26,7.8
27,6.7
26,18.9
27,11.6
26,10.3
27,9.4
26,10.4
27,9.7
40,7.4
26,12.0
27,10.1
39,6.1
26,7.7
27,11.7
39,6.5
41,23.8
26,8.8
39,7.5
41,21.0
21,10.5
41,17.8
21,5.4
41,12.3
41,12.5
42,7.1
43,71.1
41,12.9
42,6.6
43,51.6
41,9.2
42,6.9
43,29.3
41,7.7
43,23.6
41,9.4
43,17.5
41,6.7
43,16.3
43,14.3
21,5.1
43,11.8
45,41.5
21,12.8
43,11.2
45,37.4
21,8.9
43,11.4
45,25.0
43,6.0
45,18.4
41,4.2
43,11.0
45,18.0
26,10.3
43,11.5
45,15.8
49,29.8
43,5.1
45,12.8
49,22.5
26,2.9
43,6.0
45,9.4
49,16.6
51,8.2
53,12.9
26,22.2
43,3.7
45,10.0
49,15.1
51,5.9
53,20.6
26,7.5
45,14.8
49,17.9
51,2.1
53,18.3
54,7.7
55,39.5
26,6.4
45,10.9
49,14.2
51,7.3
53,15.8
54,9.2
55,30.2
26,11.7
45,9.3
49,10.5
51,10.2
53,12.5
54,3.9
55,23.3
21,11.6
26,13.0
45,2.2
49,13.7
51,6.3
53,15.3
54,3.7
55,17.4
21,7.2
26,13.1
49,12.9
51,5.4
53,15.8
54,1.4
55,16.2
58,1.5
21,5.9
26,12.7
51,4.5
53,9.1
54,1.1
55,9.9
21,8.5
26,13.6
51,4.8
53,15.8
54,1.2
55,13.9
26,15.7
51,7.3
54,6.6
55,10.8
64,34.4
26,16.5
51,7.2
54,0.7
55,12.3
64,26.5
26,18.6
51,9.4
53,6.1
54,2.4
55,10.1
64,22.8
26,20.5
51,8.5
54,0.8
55,6.9
64,18.4
26,23.5
51,9.9
54,4.0
55,11.2
64,16.7
65,28.5
26,25.9
51,9.5
54,4.2
55,5.1
64,15.0
65,20.5
51,13.8
54,1.6
55,6.4
64,11.0
65,18.8
51,14.3
54,2.3
55,8.5
64,13.0
65,17.2
51,16.2
54,2.7
64,15.5
65,15.2
51,17.7
54,0.4
64,12.4
65,9.1
51,18.8
54,2.5
64,9.4
65,9.9
54,0.0
64,8.5
65,7.9
54,1.6
64,9.3
65,8.6
68,24.4
54,4.1
65,12.1
68,21.8
69,25.1
43,3.2
54,3.4
68,16.5
69,24.8
54,0.4
68,14.4
69,23.7
43,4.7
54,1.3
68,10.9
69,18.5
72,17.8
54,0.6
68,11.6
69,15.9
72,17.0
54,1.3
68,11.4
69,16.0
72,16.4
43,7.7
54,1.8
68,8.8
69,14.1
72,14.4
54,0.8
66,15.2
68,8.9
69,12.7
72,16.2
43,5.4
54,1.7
66,21.5
68,6.3
69,8.7
72,11.9
43,13.4
54,1.0
66,18.9
68,10.0
69,14.2
72,12.1
54,2.3
66,15.0
69,6.1
72,10.8
